Trend Name,Links,Explanation
“No Don’t Say That” Trend |Example:,https://www.instagram.com/reel/CanUQMQAK2k/?igshid=YmMyMTA2M2Y=,"Posting a video tothis audiolip syncing the “No, don’t say that” while the text overlay describes a scenario where you would have to stop yourself from saying something."
"“Today, Tomorrow, Thursday Afternoon” Trend |Example:",https://www.instagram.com/reel/CbGuP1Zjt-L/?igshid=YmMyMTA2M2Y=,"Posting a video tothis audiowith a text overlay framed as a question that someone asks you where you would reply “today, tomorrow, Thursday afternoon…. etc”"
Addicted to This Trend |Example:,https://www.instagram.com/reel/CZ9yIoypX_y/?utm_medium=copy_link,Posting a video tothis audioshowcasing something you’re addicted to.
"Come On, Brain” Trend |Example:",https://www.instagram.com/reel/CZPja7BtsGj/?utm_medium=copy_link,“Posting a video tothis audiowith a text overlay explaining a (comical) situation where you’re trying to summon your brain to work and think of something.
Memory You Can’t Stop Thinking About Trend,,"|Example:Posting a video tothis audiowith a fond memory, and adding a text overlay saying “Put this sound over a memory you can’t stop thinking about”."
Nationality Challenge Trend |Example:,https://www.instagram.com/eziijude/reel/CXxw448Icvz/?utm_medium=copy_link,"Posting a video tothis audiowith the text overlay “How I’d Look as Different Nationalities”, with clips from an app called Faceplay which puts your face on people wearing diverse forms of cultural dress."
Clone Dance Trend |Example:,https://www.instagram.com/tkis909/reel/CYINd24BFSO/?utm_medium=copy_link,Posting a video tothis audioand usingthis effectto do a cool dance.
‘Love Grows’ Trend |Example:,https://www.instagram.com/sheisthelostgirl/reel/CYMhPuVoSVh/?utm_medium=copy_link,"Posting a video tothis songshowcasing your quirky/free side in short video clips or photos, usually for fashion, lifestyle and travel videos."
‘Male Version of You’ Trend |Example:,https://www.instagram.com/reel/CS79BVrjhg7/?utm_medium=copy_link,"Posting a video tothis audioshowing off what you would look like as a man, usingthis effect, along with your genuine reaction of what you look like."
Play This Audio for Your Dog Trend |Example:,"%20Example:,https://www.instagram.com/reel/CXvbKVjogKw/?utm_medium=copy_link,%20Example:",Posting a video tothis audioshowing your dog’s reaction to hearing it.
‘What Kind of Animal Are You?’ Trend |Example:,https://www.instagram.com/reel/CYMxXcooCnL/?utm_medium=copy_link,"Posting a video tothis audiousingthis effect, which shows which animal you are/should be."
Perfect Face Trend |Example:,https://www.instagram.com/reel/CTLh0u6DCeN/?utm_medium=copy_link,"Posting a video tothis audiousingthis effect,which shows what your face would look like if it was perfect."
This Audio Makes Your Last Video Hot Trend |Example:,https://www.instagram.com/reel/CXczmHZALJy/?utm_medium=copy_link,Posting your most recent Camera Roll video usingthis sound.
"“In 2022, I Should…” Trend |Example:",https://www.instagram.com/reel/CX_dYEJFTb3/?utm_medium=copy_link,"Posting a video usingthis effect, which predicts what your New Year’s resolution should be."
2021 Recap Trend |Example:,https://www.instagram.com/reel/CXbdxeKgFiI/?utm_medium=copy_link,Posting a video tothis audiorecapping the highlights of your year through photos and videos.
The Eye Challenge Trend |Example:,https://www.instagram.com/reel/CXtvc9_D4-f/?utm_medium=copy_link,Posting a video tothis audiowhere you have your eyes closed then you open them to reveal your eye color when the song lyric says “moon”. Sometimes accompanied bythis filter.
